"dishes_name" "sum(counts)"
"1" " 42度海之蓝" 25
"2" " 北冰洋汽水 " 134
"3" "38度剑南春 " 24
"4" "50度古井贡酒" 21
"5" "52度泸州老窖 " 22
"6" "53度茅台" 39
"7" "一品香酥藕" 51
"8" "三丝鳝鱼" 10
"9" "三色凉拌手撕兔" 22
"10" "不加一滴油的酸奶蛋糕" 38
"11" "五彩藕苗" 41
"12" "五彩豆" 29
"13" "五色糯米饭(七色)" 195
"14" "五香酱驴肉
" 2
"15" "五香酱驴肉


" 50
"16" "倒立蒸梭子蟹" 73
"17" "党参黄芪炖牛尾
" 9
"18" "党参黄芪炖牛尾


" 32
"19" "农夫山泉NFC果汁100%橙汁" 84
"20" "冬瓜炒苦瓜" 20
"21" "冰糖红豆薏米粥" 104
"22" "冰镇花螺" 17
"23" "凉拌海带豆芽紫菜" 18
"24" "凉拌菠菜" 272
"25" "凉拌萝卜丝" 71
"26" "凉拌蒜蓉西兰花" 118
"27" "剁椒鱼头" 129
"28" "南瓜枸杞小饼干" 62
"29" "南瓜芝士包" 46
"30" "咖啡奶香面包" 19
"31" "哈尔滨啤酒罐装" 69
"32" "啤酒鸭" 66
"33" "土豆西红柿汤面" 19
"34" "培根紫菜卷" 78
"35" "培根花菜" 66
"36" "大理石奶油蛋糕" 47
"37" "大蒜苋菜" 85
"38" "姜葱炒花蟹" 107
"39" "孜然羊排" 132
"40" "宝宝版牛肉肠粉" 17
"41" "小炒羊腰
" 5
"42" "小炒羊腰


" 27
"43" "小米南瓜粥" 80
"44" "山药养生粥" 90
"45" "干锅田鸡" 63
"46" "广式虾仁肠粉" 22
"47" "张裕葡萄酒张裕赤霞珠干红
" 2
"48" "张裕葡萄酒张裕赤霞珠干红


" 51
"49" "快炒黄鳝" 19
"50" "意文柠檬汁 " 121
"51" "打卤面" 49
"52" "拌土豆丝" 85
"53" "木须豌豆" 56
"54" "杭椒鸡珍" 37
"55" "核桃葡萄干土司" 32
"56" "桂圆枸杞鸽子汤" 61
"57" "桂圆肉红豆八宝饭" 95
"58" "水煮鱼" 162
"59" "油焖麻辣虾" 106
"60" "法国波尔多AOC干红葡萄酒原" 41
"61" "泡椒凤爪
" 4
"62" "泡椒凤爪


" 39
"63" "海带结豆腐汤" 28
"64" "清炒菊花菜" 58
"65" "清爽拌凉面" 76
"66" "清蒸海鱼" 117
"67" "清蒸蝶鱼" 80
"68" "炝炒大白菜" 108
"69" "焖猪手" 174
"70" "照烧鸡腿
" 8
"71" "照烧鸡腿


" 56
"72" "爆炒双丝" 98
"73" "爆炒猪肝" 124
"74" "爆炒鳝碌" 23
"75" "爆炒鸡翅" 63
"76" "牛奶卷" 23
"77" "牛尾汤" 53
"78" "牛肉鸡蛋肠粉" 30
"79" "特醇嘉士伯啤酒罐装" 19
"80" "独家薄荷鲜虾牛肉卷
" 5
"81" "独家薄荷鲜虾牛肉卷


" 87
"82" "玉竹南北杏鸭腿汤" 23
"83" "番茄有机花菜" 94
"84" "番茄炖牛腩
" 13
"85" "番茄炖牛腩


" 98
"86" "番茄炖秋葵" 64
"87" "番茄甘蓝" 80
"88" "番茄蛋汤" 42
"89" "白斩鸡" 73
"90" "白胡椒胡萝卜羊肉汤" 105
"91" "白饭/大碗" 429
"92" "白饭/小碗" 560
"93" "百威啤酒罐装" 36
"94" "百里香奶油烤紅酒牛肉" 5
"95" "百里香奶油烤红酒牛肉" 59
"96" "皮蛋瘦肉粥" 101
"97" "盘蟹蒸蛋" 61
"98" "糖醋蕃茄溜青花" 100
"99" "紫薯面包卷" 56
"100" "红酒土豆烧鸭腿
" 3
"101" "红酒土豆烧鸭腿


" 46
"102" "红酒炖羊肉" 66
"103" "纸杯蛋糕" 41
"104" "美妙绝伦之白莲花" 135
"105" "老式面包" 33
"106" "肉丁茄子" 61
"107" "自制猪肉脯" 136
"108" "芝士烩波士顿龙虾" 190
"109" "芝麻烤紫菜" 57
"110" "花蛤蒸蛋" 40
"111" "芹菜炒腰花" 112
"112" "芹黄鳝丝" 18
"113" "葡萄奶酥(超酥香的饼干)" 44
"114" "葱姜炒蟹" 52
"115" "葱油凉拌藕片" 67
"116" "蒙古烤羊腿
" 3
"117" "蒙古烤羊腿


" 155
"118" "蒜蓉生蚝" 48
"119" "蒜香包" 50
"120" "蒜香辣花甲" 102
"121" "蓝带啤酒罐装" 69
"122" "蛋挞" 192
"123" "西瓜胡萝卜沙拉" 136
"124" "谷稻小庄 " 243
"125" "豌豆薯仔猪骨汤" 112
"126" "超人气广式肠粉" 34
"127" "路易拉菲红酒干红" 50
"128" "辣炒海带丝" 39
"129" "辣炒田螺" 49
"130" "辣炒花蛤" 36
"131" "辣炒鱿鱼" 189
"132" "避风塘炒蟹" 55
"133" "酸辣汤面" 27
"134" "酸辣藕丁" 74
"135" "重庆特色油烧兔" 29
"136" "金玉良缘" 76
"137" "铁板牛肉" 3
"138" "长城窖酿解百纳红酒干红葡萄酒" 18
"139" "露露无糖杏仁露" 60
"140" "青岛啤酒罐装" 86
"141" "青炒扁豆" 41
"142" "香烤牛排
" 13
"143" "香烤牛排


" 115
"144" "香菇鸡肉粥" 51
"145" "香菇鹌鹑蛋" 100
"146" "香辣爆羊肝
" 1
